"Monday, 16 October 2023, 11:16 AM","","","","","",""
"Submitted answers: 21","","","","","",""
"Questions: 16","","","","","",""
"","","","","","",""
"Label","Question","Responses","","","",""
"","How would you rate the overall user interface for ease of use and navigation? ","Very Easy","Easy","Neutral","Difficult","Very Difficult"
"","","7","10","3","1","0"
"","","0.33333333333333","0.47619047619048","0.14285714285714","0.047619047619048","0"
"","How easy was it for you to find and access the desired content and features within the platform? ","Very Easy","Easy","Neutral","Difficult","Very Difficult"
"","","5","12","3","1","0"
"","","0.23809523809524","0.57142857142857","0.14285714285714","0.047619047619048","0"
"","Did the format of the learning materials effectively enhance your knowledge and skills in Advocacy? ","Strongly Agree","Agree","Neutral","Disagree","Strongly Disagree"
"","","11","9","0","1","0"
"","","0.52380952380952","0.42857142857143","0","0.047619047619048","0"
"","How helpful was the AI-powered chatbot in assisting you during your learning journey?   a. Very Helpful  b. Helpful  c. Neutral   d. Not Helpful   e. Not Used. If ‘Not Used’, why? ","very helpful","","","",""
"","","NOT USED","","","",""
"","","Very helpful ","","","",""
"","","a","","","",""
"","","Very helpful. For it clearly explains the content","","","",""
"","","Neutral","","","",""
"","","a. Very Helpful ","","","",""
"","","Not helpful","","","",""
"","","Very helpful ","","","",""
"","","Very helpful ","","","",""
"","","B","","","",""
"","","A","","","",""
"","","a","","","",""
"","","Very helpful","","","",""
"","","very useful","","","",""
"","","Helpful","","","",""
"","","very helpful","","","",""
"","","Very helpful ","","","",""
"","","A","","","",""
"","","Not helpful. Coz it doesn't open ","","","",""
"","","B.helpful ","","","",""
"","","","","","",""
"","How relevant were the responses provided by the AI-powered chatbot during your interaction? ","Very Relevant","Somewhat Relevant","Neutral","Not Relevant",""
"","","14","6","1","0",""
"","","0.66666666666667","0.28571428571429","0.047619047619048","0",""
"","How many prompts did you have to give the AI-powered chatbot to get the desired response? ","1","2","3","More than 3",""
"","","9","7","3","2",""
"","","0.42857142857143","0.33333333333333","0.14285714285714","0.095238095238095",""
"","What are your comments on the AI-powered chatbot on the platform? ","its been very helpful as i was stuck somehow but it helped me navigate my way through","","","",""
"","","NA","","","",""
"","","Easy to use and understand","","","",""
"","","It easy to use ","","","",""
"","","Its very effective and platform to be encouraged for consuption.","","","",""
"","","Its relevant and quite helpful","","","",""
"","","The AI- powered chatbot is fast and has the most effective communication ","","","",""
"","","Not sure how to use it","","","",""
"","","Somehow good but it needs some improvement.","","","",""
"","","It was interesting ","","","",""
"","","Good  but slow  in giving feedbacks","","","",""
"","","Very effective while answering the questions ","","","",""
"","","Responsive upon prompting and responding to command.
<br />Providing relevant responses aligning meaning to subject matter.
<br />Great help from the AI during the learning module.
<br />The layout of the learning materials is simple and provided much knowledge on Advocacy enhancing my skills and approach. 
<br />","","","",""
"","","Its very effective","","","",""
"","","efective enough","","","",""
"","","Helpful","","","",""
"","","awesome","","","",""
"","","So much ","","","",""
"","","Was very helpful in my training ","","","",""
"","","To be reformed, to meet requirements of all devices.","","","",""
"","","The Ai chatbot makes it easier to navigate through the platform ","","","",""
"","","","","","",""
"","How engaging did you find the form of the learning materials provided? ","Very Engaging","Engaging","Neutral","Not Engaging","Not Sure"
"","","10","7","3","1","0"
"","","0.47619047619048","0.33333333333333","0.14285714285714","0.047619047619048","0"
"","Which of the interactive features below did you find effective in enhancing your learning experience? (Select all that apply) ","Video","Images","Tabs","None of the above",""
"","","1","8","11","1",""
"","","0.047619047619048","0.38095238095238","0.52380952380952","0.047619047619048",""
"","Did you find the Leader Board useful for monitoring your learning progress? ","Very Useful","Useful","Neutral","Not Useful","Not Sure"
"","","15","4","0","0","2"
"","","0.71428571428571","0.19047619047619","0","0","0.095238095238095"
